id	north	south	east	west	high	low	name	scientific_name
5833	43.0006	42.9846	27.7721	27.7473	NULL	NULL	East Stara planina mountain, Staro Oryahovo, Bulgaria	Bulgaria, Staro Oryahovo, East Stara planina mountain
5834	44.127	42.127	24.1005	22.1005	NULL	NULL	West Stara planina mountain, Petrohan, Bulgaria	Bulgaria, Petrohan, West Stara planina mountain
5835	35.2122	35.194	-85.2376	-85.2696	NULL	NULL	Falling Water, Tennessee, USA	USA, Tennessee, Falling Water
5836	16.0854	16.053	-96.6034	-96.6334	NULL	NULL	San Vincente, Oaxaca, Mexico	Mexico, Oaxaca, San Vincente
5837	35.7616	35.6756	-83.2573	-83.3998	NULL	NULL	Maddron Bald Trail, Great Smoky Mountains National Park, Cocke Co., Tennessee, USA	USA, Tennessee, Cocke Co., Great Smoky Mountains National Park, Maddron Bald Trail
5838	41.6087	41.6073	-70.5655	-70.5672	NULL	NULL	Unitarian Universalist Fellowship of Falmouth, Falmouth, Massachusetts, USA	USA, Massachusetts, Falmouth, Unitarian Universalist Fellowship of Falmouth
5839	35.7	35.6804	-83.5509	-83.5957	NULL	NULL	Quiet Walkway, Little River Road, Elkmont, Tennessee, USA	USA, Tennessee, Elkmont, Little River Road, Quiet Walkway
5840	35.6841	35.6757	-83.6779	-83.7014	NULL	NULL	Metcalf Bottoms Trail, Great Smoky Mountains National Park, Blount Co., Tennessee, USA	USA, Tennessee, Townsend, Great Smokey Mountains National Park, Metcalf Bottoms Trail
5841	40.8689	40.8034	-75.2866	-75.4417	NULL	NULL	Katellan Trail, Pennsylvania, USA	USA, Pennsylvania, Katellan Trail
5842	35.6628	35.6446	-83.5644	-83.5965	NULL	NULL	Jake's Creek Trail, Great Smoky Mountains National Park, Sevier Co., Tennessee, USA	USA, Tennessee, Elkmont, Great Smokey Mountains, Jake's Creek Trail
5843	35.6628	35.6446	-83.5644	-83.5965	NULL	NULL	Mulch Road Trail, Great Smoky Mountains National Park, Sevier Co., Tennessee, USA	USA, Tennessee, Elkmont, Great Smokey Mountains, Mulch Road Trail
5844	54.1753	53.7617	81.4526	80.1123	NULL	NULL	Spirinskiy Bor, Spirino village vicinities, Ordynskiy district, Novosibirsk region, Russia	Russia, Novosibirsk region, Ordynskiy district, Spirino village vicinities, Spirinskiy Bor
5845	38.4227	37.9579	-85.9006	-86.3299	NULL	NULL	Harrison Co, Indiana, USA	USA, Indiana, Harrison Co
5846	40.8399	40.8285	-75.3448	-75.3766	NULL	NULL	Wind Gap, Pennsylvania, USA	USA, Pennsylvania, Wind Gap
5847	60.0095	59.9622	10.7402	10.6506	450	200	woodland near Holmenkollen and Sognsvann, Oslo, Norway	Norway, Oslo, woodland near Holmenkollen and Sognsvann
